,Type,Price,Location,Baths,Area,Beds
2338,Lower Portion,PKR25 Thousand,"Township, Lahore, Punjab",2,5 Marla,2
2339,House,PKR50 Thousand,"Bahria Town, Lahore, Punjab",4,10 Marla,3
2340,House,PKR30 Thousand,"Nasheman-e-Iqbal, Lahore, Punjab",3,5 Marla,2
2341,Upper Portion,PKR90 Thousand,"HBFC Housing Society, Lahore, Punjab",3,1 Kanal,3
2342,Upper Portion,PKR70 Thousand,"DHA Defence, Lahore, Punjab",2,1 Kanal,2
2343,Lower Portion,PKR1.15 Lakh,"DHA Defence, Lahore, Punjab",2,1 Kanal,3
2344,Upper Portion,PKR70 Thousand,"DHA Defence, Lahore, Punjab",2,1 Kanal,2
2345,House,PKR1 Lakh,"DHA Defence, Lahore, Punjab",4,10 Marla,4
2346,Upper Portion,PKR55 Thousand,"DHA Defence, Lahore, Punjab",2,10 Marla,2
2347,Upper Portion,PKR65 Thousand,"DHA Defence, Lahore, Punjab",2,1 Kanal,2
2348,House,PKR70 Thousand,"DHA 11 Rahbar, Lahore, Punjab",4,5 Marla,3
2349,Room,PKR18 Thousand,"Punjab Small Industries Colony, Lahore, Punjab",-,3.5 Marla,-
2350,House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2351,House,PKR3.35 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2352,House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2353,Lower Portion,PKR35 Thousand,"Walton Road, Lahore, Punjab",1,5 Marla,1
2354,House,PKR2.35 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2355,House,PKR2.6 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2356,House,PKR80 Thousand,"DHA Defence, Lahore, Punjab",3,5 Marla,3
2357,House,PKR2.65 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,6
2358,House,PKR95 Thousand,"Wapda Town, Lahore, Punjab",5,10 Marla,4
2359,House,PKR5.3 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,5
2360,Lower Portion,PKR35 Thousand,"Township, Lahore, Punjab",3,5 Marla,2
2361,House,PKR3.35 Lakh,"DHA Defence, Lahore, Punjab",-,1 Kanal,5
2362,House,PKR2.25 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2363,House,PKR4.25 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,5
2364,House,PKR4.95 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2365,House,PKR4.95 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2366,House,PKR4.8 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,6
2367,Upper Portion,PKR55 Thousand,"LDA Avenue, Lahore, Punjab",3,1 Kanal,2
2368,House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2369,House,PKR2.9 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2370,Upper Portion,PKR60 Thousand,"Architects Engineers Housing Society, Lahore, Punjab",2,10 Marla,2
2371,House,PKR2.75 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2372,House,PKR2.6 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2373,Flat,PKR60 Thousand,"Bahria Town, Lahore, Punjab",1,2.7 Marla,1
2374,House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2375,House,PKR9.8 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,6
2376,House,PKR3.6 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2377,House,PKR65 Thousand,"Bahria Town, Lahore, Punjab",3,5 Marla,3
2378,Upper Portion,PKR75 Thousand,"Bahria Town, Lahore, Punjab",3,1 Kanal,3
2379,Upper Portion,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
2380,House,PKR2.1 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2381,Upper Portion,PKR75 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
2382,Upper Portion,PKR85 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
2383,Upper Portion,PKR35 Thousand,"Township, Lahore, Punjab",2,5 Marla,2
2384,Upper Portion,PKR55 Thousand,"Township, Lahore, Punjab",-,10 Marla,-
2385,Upper Portion,PKR50 Thousand,"Township, Lahore, Punjab",-,10 Marla,-
2386,House,PKR2.35 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2387,Flat,PKR70 Thousand,"Bahria Town, Lahore, Punjab",2,2.4 Marla,2
2388,House,PKR2.3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2389,House,PKR2.25 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2390,House,PKR2.65 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2391,House,PKR2.8 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2392,House,PKR2.1 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2393,Room,PKR25 Thousand,"Askari, Lahore, Punjab",-,0.3 Marla,-
2394,House,PKR3.15 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2395,House,PKR6.25 Lakh,"Gulberg, Lahore, Punjab",6,3 Kanal,5
2396,House,PKR3.5 Lakh,"Gulberg, Lahore, Punjab",5,1 Kanal,4
2397,House,PKR5.5 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,6
2398,House,PKR3.3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2399,House,PKR4.75 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,5
2400,House,PKR2.35 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2401,House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2402,House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,6
2403,House,PKR3.75 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,7
2404,Upper Portion,PKR85 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
2405,House,PKR8.7 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,6
2406,Upper Portion,PKR32 Thousand,"Bahria Town, Lahore, Punjab",2,5 Marla,2
2407,House,PKR11.5 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,6
2408,House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2409,House,PKR85 Thousand,"DHA Defence, Lahore, Punjab",3,5 Marla,3
2410,House,PKR75 Thousand,"Bahria Town, Lahore, Punjab",4,5 Marla,3
2411,House,PKR3.3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2412,House,PKR3.45 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,7
2413,Upper Portion,PKR80 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
2414,House,PKR2.8 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2415,House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2416,House,PKR4.65 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,6
2417,House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2418,House,PKR3.35 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2419,House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2420,Lower Portion,PKR35 Thousand,"Walton Road, Lahore, Punjab",1,5 Marla,1
2421,House,PKR2.35 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2422,House,PKR2.6 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2423,House,PKR80 Thousand,"DHA Defence, Lahore, Punjab",3,5 Marla,3
2424,House,PKR2.65 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,6
2425,House,PKR2.25 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2426,House,PKR2.65 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2427,House,PKR2.8 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2428,House,PKR2.1 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2429,Room,PKR25 Thousand,"Askari, Lahore, Punjab",-,0.3 Marla,-
2430,House,PKR3.15 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2431,House,PKR6.25 Lakh,"Gulberg, Lahore, Punjab",6,3 Kanal,5
2432,House,PKR3.5 Lakh,"Gulberg, Lahore, Punjab",5,1 Kanal,4
2433,House,PKR5.5 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,6
2434,House,PKR3.3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2435,House,PKR4.75 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,5
2436,House,PKR2.35 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2437,House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2438,House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,6
2439,House,PKR3.75 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,7
2440,Upper Portion,PKR85 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
2441,House,PKR8.7 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,6
2442,Upper Portion,PKR32 Thousand,"Bahria Town, Lahore, Punjab",2,5 Marla,2
2443,House,PKR11.5 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,6
2444,House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2445,House,PKR85 Thousand,"DHA Defence, Lahore, Punjab",3,5 Marla,3
2446,House,PKR75 Thousand,"Bahria Town, Lahore, Punjab",4,5 Marla,3
2447,House,PKR3.3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2448,House,PKR3.45 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,7
2449,Upper Portion,PKR80 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
2450,Upper Portion,PKR95 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
2451,Upper Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
2452,House,PKR2.2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2453,Upper Portion,PKR55 Thousand,"DHA Defence, Lahore, Punjab",2,5 Marla,2
2454,Flat,PKR1.2 Lakh,"Askari, Lahore, Punjab",4,10 Marla,4
2455,House,PKR62 Thousand,"Paragon City, Lahore, Punjab",4,5 Marla,3
2456,House,PKR1.1 Lakh,"Divine Gardens, Lahore, Punjab",5,10 Marla,4
2457,House,PKR80 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
2458,House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,6
2459,House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,6
2460,House,PKR1 Lakh,"Formanites Housing Scheme, Lahore, Punjab",5,10 Marla,4
2461,Lower Portion,PKR50 Thousand,"Formanites Housing Scheme, Lahore, Punjab",3,10 Marla,2
2462,Lower Portion,PKR55 Thousand,"DHA Defence, Lahore, Punjab",1,6 Marla,1
2463,Lower Portion,PKR50 Thousand,"Formanites Housing Scheme, Lahore, Punjab",3,10 Marla,2
2464,House,PKR1.4 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
2465,House,PKR85 Thousand,"DHA 11 Rahbar, Lahore, Punjab",6,8 Marla,5
2466,Flat,PKR55 Thousand,"Bahria Town, Lahore, Punjab",1,2.4 Marla,1
2467,Upper Portion,PKR25 Thousand,"Allama Iqbal Town, Lahore, Punjab",2,10 Marla,2
2468,House,PKR2.8 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2469,House,PKR2.6 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2470,House,PKR63 Thousand,"Johar Town, Lahore, Punjab",5,6 Marla,5
2471,Flat,PKR27 Thousand,"Formanites Housing Scheme, Lahore, Punjab",2,3 Marla,2
2472,House,PKR50 Thousand,"Bahria Orchard, Lahore, Punjab",4,5 Marla,3
2473,House,PKR60 Thousand,"DHA 11 Rahbar, Lahore, Punjab",4,5 Marla,3
2474,House,PKR1.2 Lakh,"Askari, Lahore, Punjab",5,12 Marla,4
2475,House,PKR2.6 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2476,Flat,PKR60 Thousand,"Bahria Town, Lahore, Punjab",1,2.7 Marla,1
2477,House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2478,House,PKR1.6 Lakh,"Architects Engineers Housing Society, Lahore, Punjab",6,10 Marla,5
2479,Flat,PKR40 Thousand,"Architects Engineers Housing Society, Lahore, Punjab",1,2.7 Marla,1
2480,House,PKR65 Thousand,"DHA 11 Rahbar, Lahore, Punjab",4,5 Marla,3
2481,House,PKR2.65 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2482,House,PKR10 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,6
2483,House,PKR1.1 Lakh,"Sabzazar Scheme, Lahore, Punjab",4,10 Marla,4
2484,House,PKR1.6 Lakh,"DHA Defence, Lahore, Punjab",4,10 Marla,4
2485,Upper Portion,PKR80 Thousand,"Architects Engineers Housing Society, Lahore, Punjab",4,1 Kanal,4
2486,House,PKR95 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
2487,House,PKR2.65 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2488,House,PKR22 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,6
2489,House,PKR3.3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,7
2490,House,PKR2.9 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,6
2491,House,PKR1.4 Lakh,"Divine Gardens, Lahore, Punjab",4,12 Marla,3
2492,House,PKR7 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2493,House,PKR1.7 Lakh,"DHA Defence, Lahore, Punjab",4,10 Marla,4
2494,House,PKR2.75 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,7
2495,Upper Portion,PKR85 Thousand,"Cantt, Lahore, Punjab",4,1 Kanal,4
2496,House,PKR2.8 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2497,Upper Portion,PKR75 Thousand,"PCSIR Housing Scheme, Lahore, Punjab",4,1 Kanal,4
2498,House,PKR2.3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,8
2499,House,PKR2.8 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2500,House,PKR1.9 Lakh,"Wapda Town, Lahore, Punjab",5,1 Kanal,5
2501,Lower Portion,PKR50 Thousand,"Wapda Town, Lahore, Punjab",2,10 Marla,2
2502,Upper Portion,PKR45 Thousand,"Tariq Gardens, Lahore, Punjab",3,10 Marla,3
2503,Lower Portion,PKR50 Thousand,"Tariq Gardens, Lahore, Punjab",2,10 Marla,2
2504,Upper Portion,PKR44 Thousand,"Gulshan-e-Lahore, Lahore, Punjab",3,10 Marla,3
2505,House,PKR1 Lakh,"Tariq Gardens, Lahore, Punjab",5,10 Marla,5
2506,Lower Portion,PKR50 Thousand,"Tariq Gardens, Lahore, Punjab",3,10 Marla,2
2507,House,PKR2 Lakh,"Gulberg, Lahore, Punjab",3,10 Marla,3
2508,House,PKR2.5 Lakh,"Gulberg, Lahore, Punjab",-,1.2 Kanal,-
2509,Upper Portion,PKR1.7 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
2510,House,PKR1.3 Lakh,"DHA Defence, Lahore, Punjab",3,7 Marla,3
2511,Upper Portion,PKR82 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
2512,House,PKR1 Lakh,"Green City, Lahore, Punjab",4,10 Marla,3
2513,House,PKR1.2 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,2
2514,House,PKR90 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
2515,Upper Portion,PKR45 Thousand,"DHA Defence, Lahore, Punjab",2,5 Marla,2
2516,Upper Portion,PKR95 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
2517,Upper Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
2518,House,PKR2.2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2519,Upper Portion,PKR55 Thousand,"DHA Defence, Lahore, Punjab",2,5 Marla,2
2520,Flat,PKR1.2 Lakh,"Askari, Lahore, Punjab",4,10 Marla,4
2521,House,PKR62 Thousand,"Paragon City, Lahore, Punjab",4,5 Marla,3
2522,House,PKR1.1 Lakh,"Divine Gardens, Lahore, Punjab",5,10 Marla,4
2523,House,PKR80 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
2524,House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,6
2525,Room,PKR40 Thousand,"DHA Defence, Lahore, Punjab",2,1 Kanal,1
2526,Flat,PKR35 Thousand,"Bahria Town, Lahore, Punjab",1,1.7 Marla,-
2527,House,PKR3.55 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2528,House,PKR65 Thousand,"Paragon City, Lahore, Punjab",4,5 Marla,3
2529,House,PKR1.5 Lakh,"Cantt, Lahore, Punjab",5,12 Marla,4
2530,House,PKR75 Thousand,"DHA Defence, Lahore, Punjab",2,5 Marla,2
2531,House,PKR1.5 Lakh,"Gulberg, Lahore, Punjab",2,10 Marla,2
2532,House,PKR1.1 Lakh,"Gulberg, Lahore, Punjab",3,5 Marla,3
2533,Flat,PKR25 Thousand,"DHA Defence, Lahore, Punjab",3,8.7 Marla,2
2534,Flat,PKR1.8 Lakh,"DHA Defence, Lahore, Punjab",4,8.2 Marla,3
2535,Upper Portion,PKR45 Thousand,"NFC 1, Lahore, Punjab",3,10 Marla,3
2536,House,PKR1.9 Lakh,"Wapda Town, Lahore, Punjab",5,1 Kanal,5
2537,Lower Portion,PKR50 Thousand,"Wapda Town, Lahore, Punjab",2,10 Marla,2
2538,Upper Portion,PKR45 Thousand,"Tariq Gardens, Lahore, Punjab",3,10 Marla,3
2539,Lower Portion,PKR50 Thousand,"Tariq Gardens, Lahore, Punjab",2,10 Marla,2
2540,Upper Portion,PKR44 Thousand,"Gulshan-e-Lahore, Lahore, Punjab",3,10 Marla,3
2541,House,PKR1 Lakh,"Tariq Gardens, Lahore, Punjab",5,10 Marla,5
2542,Lower Portion,PKR50 Thousand,"Tariq Gardens, Lahore, Punjab",3,10 Marla,2
2543,House,PKR2 Lakh,"Gulberg, Lahore, Punjab",3,10 Marla,3
2544,House,PKR2.5 Lakh,"Gulberg, Lahore, Punjab",-,1.2 Kanal,-
2545,Upper Portion,PKR1.7 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
2546,House,PKR1.3 Lakh,"DHA Defence, Lahore, Punjab",3,7 Marla,3
2547,Upper Portion,PKR82 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
2548,House,PKR1 Lakh,"Green City, Lahore, Punjab",4,10 Marla,3
2549,House,PKR1.2 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,2
2550,House,PKR90 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
2551,Upper Portion,PKR45 Thousand,"DHA Defence, Lahore, Punjab",2,5 Marla,2
2552,Upper Portion,PKR95 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
2553,Upper Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
2554,House,PKR2.2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2555,Upper Portion,PKR55 Thousand,"DHA Defence, Lahore, Punjab",2,5 Marla,2
2556,House,PKR62 Thousand,"Paragon City, Lahore, Punjab",4,5 Marla,3
2557,House,PKR1.1 Lakh,"Divine Gardens, Lahore, Punjab",5,10 Marla,4
2558,House,PKR80 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
2559,House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,6
2560,House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,6
2561,House,PKR1 Lakh,"Formanites Housing Scheme, Lahore, Punjab",5,10 Marla,4
2562,Lower Portion,PKR50 Thousand,"Formanites Housing Scheme, Lahore, Punjab",3,10 Marla,2
2563,Lower Portion,PKR55 Thousand,"DHA Defence, Lahore, Punjab",1,6 Marla,1
2564,Lower Portion,PKR50 Thousand,"Formanites Housing Scheme, Lahore, Punjab",3,10 Marla,2
2565,House,PKR1.4 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
2566,House,PKR85 Thousand,"DHA 11 Rahbar, Lahore, Punjab",6,8 Marla,5
2567,Flat,PKR55 Thousand,"Bahria Town, Lahore, Punjab",1,2.4 Marla,1
2568,Upper Portion,PKR25 Thousand,"Allama Iqbal Town, Lahore, Punjab",2,10 Marla,2
2569,House,PKR2.8 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2570,House,PKR2.6 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2571,House,PKR63 Thousand,"Johar Town, Lahore, Punjab",5,6 Marla,5
2572,Flat,PKR27 Thousand,"Formanites Housing Scheme, Lahore, Punjab",2,3 Marla,2
2573,House,PKR50 Thousand,"Bahria Orchard, Lahore, Punjab",4,5 Marla,3
2574,House,PKR60 Thousand,"DHA 11 Rahbar, Lahore, Punjab",4,5 Marla,3
2575,House,PKR1.2 Lakh,"Askari, Lahore, Punjab",5,12 Marla,4
2576,Flat,PKR90 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
2577,House,PKR2.2 Lakh,"Askari, Lahore, Punjab",-,17 Marla,-
2578,Flat,PKR1 Lakh,"Askari, Lahore, Punjab",3,10 Marla,3
2579,House,PKR95 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
2580,House,PKR1.07 Lakh,"Divine Gardens, Lahore, Punjab",5,10 Marla,4
2581,Upper Portion,PKR1.2 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
2582,Flat,PKR1.7 Lakh,"DHA Defence, Lahore, Punjab",2,5.3 Marla,1
2583,Upper Portion,PKR75 Thousand,"Sui Gas Housing Society, Lahore, Punjab",3,1 Kanal,3
2584,Upper Portion,PKR70 Thousand,"State Life Housing Society, Lahore, Punjab",3,1 Kanal,3
2585,House,PKR65 Thousand,"Bankers Co-operative Housing Society, Lahore, Punjab",4,5 Marla,3
2586,Upper Portion,PKR55 Thousand,"Bankers Co-operative Housing Society, Lahore, Punjab",2,10 Marla,2
2587,House,PKR65 Thousand,"State Life Housing Society, Lahore, Punjab",4,5 Marla,3
2588,House,PKR1.3 Lakh,"Izmir Town, Lahore, Punjab",5,10 Marla,5
2589,House,PKR55 Thousand,"Izmir Town, Lahore, Punjab",3,5 Marla,3
2590,Upper Portion,PKR20 Thousand,"Judicial Colony, Lahore, Punjab",2,10 Marla,2
2591,Upper Portion,PKR50 Thousand,"State Life Housing Society, Lahore, Punjab",3,10 Marla,2
2592,House,PKR60 Thousand,"State Life Housing Society, Lahore, Punjab",4,5 Marla,3
2593,House,PKR3.1 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5
2594,House,PKR1.85 Lakh,"State Life Housing Society, Lahore, Punjab",6,1 Kanal,6
2595,Lower Portion,PKR45 Thousand,"State Life Housing Society, Lahore, Punjab",2,8 Marla,2
2596,Upper Portion,PKR85 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
2597,House,PKR65 Thousand,"Al Hamra Town, Lahore, Punjab",5,5 Marla,5
2598,Upper Portion,PKR80 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
2599,Upper Portion,PKR30 Thousand,"Sabzazar Scheme, Lahore, Punjab",2,5 Marla,2
2600,Upper Portion,PKR70 Thousand,"Fazaia Housing Scheme, Lahore, Punjab",4,1 Kanal,3
2601,Flat,PKR3 Lakh,"Gulberg, Lahore, Punjab",2,5.8 Marla,2
2602,Flat,PKR2 Lakh,"Gulberg, Lahore, Punjab",3,8.9 Marla,3
2603,Flat,PKR2.5 Lakh,"Main Canal Bank Road, Lahore, Punjab",2,6.7 Marla,2
2604,Upper Portion,PKR70 Thousand,"Fazaia Housing Scheme, Lahore, Punjab",4,1 Kanal,3
2605,Upper Portion,PKR70 Thousand,"Fazaia Housing Scheme, Lahore, Punjab",4,1 Kanal,3
2606,Upper Portion,PKR27 Thousand,"Johar Town, Lahore, Punjab",1,3.5 Marla,2
2607,House,PKR1.4 Lakh,"DHA Defence, Lahore, Punjab",4,7 Marla,3
2608,Upper Portion,PKR70 Thousand,"Fazaia Housing Scheme, Lahore, Punjab",4,1 Kanal,3
2609,Upper Portion,PKR85 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
2610,Upper Portion,PKR70 Thousand,"Fazaia Housing Scheme, Lahore, Punjab",4,1 Kanal,3
2611,Flat,PKR82 Thousand,"Askari, Lahore, Punjab",4,10 Marla,3
2612,House,PKR57 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
2613,House,PKR1.5 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
2614,House,PKR2.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
2615,House,PKR70 Thousand,"Johar Town, Lahore, Punjab",3,5 Marla,3
2616,House,PKR67 Thousand,"DHA 11 Rahbar, Lahore, Punjab",4,5 Marla,4
2617,House,PKR65 Thousand,"DHA 11 Rahbar, Lahore, Punjab",3,5 Marla,3
2618,Upper Portion,PKR78 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
2619,Upper Portion,PKR77 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,4
2620,Upper Portion,PKR77 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
2621,Lower Portion,PKR54.5 Thousand,"DHA 11 Rahbar, Lahore, Punjab",2,10 Marla,2
2622,Upper Portion,PKR78 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
2623,Upper Portion,PKR85 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
2624,Lower Portion,PKR30 Thousand,"Cantt, Lahore, Punjab",1,5 Marla,1
2625,Upper Portion,PKR85 Thousand,"EME Society, Lahore, Punjab",-,1 Kanal,-
2626,Lower Portion,PKR33 Thousand,"Bahria Town, Lahore, Punjab",2,5 Marla,1
2627,Upper Portion,PKR80 Thousand,"Eden, Lahore, Punjab",3,1 Kanal,3
2628,Upper Portion,PKR65 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
2629,House,PKR1.4 Lakh,"State Life Housing Society, Lahore, Punjab",5,10 Marla,4
2630,Upper Portion,PKR90 Thousand,"State Life Housing Society, Lahore, Punjab",3,1 Kanal,3
2631,Upper Portion,PKR65 Thousand,"Valencia Housing Society, Lahore, Punjab",4,1 Kanal,3
2632,Upper Portion,PKR35 Thousand,"Sabzazar Scheme, Lahore, Punjab",2,10 Marla,2
2633,Upper Portion,PKR48 Thousand,"Valencia Housing Society, Lahore, Punjab",3,10 Marla,3
2634,House,PKR5 Lakh,"DHA Defence, Lahore, Punjab",8,1 Kanal,7
2635,Lower Portion,PKR35 Thousand,"Audit & Accounts Housing Society, Lahore, Punjab",3,8 Marla,2
